Question,Answer,Excerpt
What Does My Policy Cover If I Get into an Accident?,"Your car insurance policy covers liability for injuries and property damage to others, as well as accidental damage to your car. It also includes personal benefits such as medical expenses, personal accident coverage, and the replacement of child car seats and in-car entertainment equipment. Additionally, you can receive a courtesy car during repairs and have protections like the Uninsured Driver Promise and Vandalism Promise, which safeguard your No Claim Discount under certain conditions. For complete details, refer to sections on liability, accidental damage, and personal benefits in your policy booklet.","Section 1: Liability
Injuries to Other People: Covers injuries or death to others caused by an accident involving your car.
Property Damage: Covers damage to someone else's property.
Section 4: Accidental Damage
Accidental Damage to Your Car: Covers repairs or replacement of your car if it is damaged in an accident.
Child Car Seat Replacement: Covers the cost of replacing a child car seat if it is damaged in an accident.
In-car Entertainment: Covers in-car entertainment equipment that was permanently fitted in your car when it was made.
Section 6: Personal Benefits
Personal Accident: Provides financial help if you or your partner are accidentally injured or killed in a car accident involving your car.
Medical Expenses: Covers medical expenses for injuries resulting from an accident.
Hotel Expenses: Covers hotel expenses if you cannot drive your car after an accident.
Personal Belongings: Covers personal belongings if they are lost or damaged by an accident while they are in or on your car.
Uninsured Driver Promise
If you are involved in an accident that is not your fault and the other driver is uninsured, your No Claim Discount will not be affected, and you will not need to pay an excess once the fault is confirmed.

Vandalism Promise
If you claim for damage to your car caused by vandalism, it will not affect your No Claim Discount on the policy.

Courtesy Car
If your car is being repaired by an approved repairer, you will get a courtesy car to keep you mobile while your car is being repaired.

Additional Exclusions and Conditions
Legal Costs: Reasonable legal costs or expenses to defend or represent you in court.
Repairs and Replacements: Detailed information on how repairs and replacements are managed is found in sections 2, 4, and 5 of the policy."
What are the minimum liability coverage requirements?,"the minimum liability coverage requirements include:
Injuries to Other People: Unlimited coverage for injuries or death caused to other people.
Property Damage: Coverage up to £20,000,000 per accident, including all costs and expenses .","the minimum liability coverage requirements include:
Injuries to Other People: Unlimited coverage for injuries or death caused to other people.
Property Damage: Coverage up to £20,000,000 per accident, including all costs and expenses ."
what I am not covered for?,"Your policy does not cover: use by unauthorized drivers, unauthorized taking by family without reporting to police, loss of value due to wear and tear, mechanical or electrical failures, deliberate damage, indirect losses like travel costs, actions by government or authorities, cyber events, automated car use when unlawful, and incidents involving drink or drug driving.","Your policy does not cover: use by unauthorized drivers, unauthorized taking by family without reporting to police, loss of value due to wear and tear, mechanical or electrical failures, deliberate damage, indirect losses like travel costs, actions by government or authorities, cyber events, automated car use when unlawful, and incidents involving drink or drug driving."
What are the conditions under which my No Claim Discount (NCD) is protected?,Your NCD is protected if you make no more than 2 claims in 3 years. Protected NCD doesnât guarantee your premium wonât increase if a claim is made.,Protected NCD means that you can make up to 2 claims in 3 years without your No Claim Discount being affected.
What is the process if my car is written off and I have a lease or hire purchase agreement?,"If your car is written off, payments will be made to the lease or hire purchase company. Any remaining balance will be paid to you if you have the option to become the full owner at the end of the agreement.","If your car canât be repaired and youâre leasing it, weâll pay any claims to the lease company. If youâre buying it on hire purchase, weâll pay any claims to the legal owner."
How does the policy handle repairs if I choose my own repairer instead of an approved one?,"Reasonable and necessary repairs can be carried out at a repairer of your choice, but these repairs will not be guaranteed by the insurer even if they pay for them directly.","Where the repairs are carried out at a repairer of your choice, those repairs will NOT be guaranteed by us even though we may pay for them directly."
What are the exclusions related to driving another car under my policy?,"Your policy doesnât cover damage, fire, or theft of the car youâre driving, nor does it provide Motor Legal cover when driving another car.","We donât cover any damage, fire, or theft to the car youâre driving. We donât provide Motor Legal cover if youâre driving another car."
Under what conditions will the Uninsured Driver Promise apply?,"The Uninsured Driver Promise applies if you are in an accident that isnât your fault, and the driver of the other vehicle is uninsured. You need to provide the registration number, make and model of the vehicle that hit you, the driverâs details, and any witness information.","If you claim for an accident that isnât your fault, and the driver of the vehicle that hits your car is uninsured, the No Claim Discount on this policy will not be affected and you will not need to pay an excess."
What does the policy cover under Motor Legal Cover?,"Motor Legal Cover includes costs for pursuing or defending claims related to road traffic accidents, motor contract disputes, and motoring offences, provided there is a reasonable chance of success.",Weâll provide cover for the costs to defend you in a criminal court within the territorial limits if youâre prosecuted for a motoring offence while using your car.
How does the Guaranteed Hire Car Plus work if my car is not driveable?,"If your car is not driveable and you use an approved repairer, you will be provided with a hire car until your car is repaired. If you use your own repairer, youâll get a hire car for up to 21 days.","If your car can be repaired, and is not driveable, as soon as youâve confirmed that we can start the repair, weâll provide you with a hire car."
What are the exclusions for windscreen damage coverage?,"The policy doesnât cover other losses caused by the same incident that arenât related to windscreen damage, such as dents to the bodywork or damage caused by vandalism.","We wonât cover any other losses covered under another section of this policy for the same incident, such as dents to the bodywork."
What actions should I avoid to prevent increasing the amount claimed?,"You must not do or refrain from doing anything that would increase the amount of the claim without written permission, such as admitting liability or negotiating to settle any claim.","You must not do, or refrain from doing, anything that would increase the amount of the claim without our written permission."
What are the conditions for replacing car keys if they are stolen or lost abroad?,"While driving abroad, car keys are covered if stolen when you have Comprehensive cover with a Foreign Use Extension or Comprehensive Plus cover. You must replace the keys and send receipts for reimbursement.","While driving your car abroad, weâll cover your car keys if they are stolen when you have Comprehensive cover and youâve added Foreign Use Extension."
Am I protected if I seriously injure someone in an accident?,"Yes, you are protected if you seriously injure someone in an accident. The liability coverage under your policy includes protection for injuries to other people caused by an accident involving your car. This includes unlimited coverage for injuries or death caused to other people.","Section 1: Liability
Injuries to Other People: ""WeÕll cover you if youÕre found to be legally responsible for an accident. This includes accidents that injure or kill someone."""
What are the cancellation policy?,"Your Right to Cancel the Policy or Remove Any Optional Cover:
Before Cover Starts: Full refund.
During 14-Day Cooling-Off Period: Charge for the time you had cover, refund the rest.
After the 14-Day Cooling-Off Period: Charge for the time you had cover plus an administration fee, refund any remaining premium.","Your Right to Cancel the Policy or Remove Any Optional Cover:
Before Cover Starts: Full refund.
During 14-Day Cooling-Off Period: Charge for the time you had cover, refund the rest.
After the 14-Day Cooling-Off Period: Charge for the time you had cover plus an administration fee, refund any remaining premium."
What to do incase I met an accident?,"If you have an accident, ensure everyone's safety and call emergency services if needed. Exchange details with the other driver(s) and gather information about the accident, including witness details. Report the accident to the police if there are injuries or the other driver leaves the scene. Notify your insurer as soon as possible by calling the claims number","WeÕre here to support you when
accidents happen, so weÕve put
together some useful steps for
you to follow to help make the
process smoother.
1
Safety comes first
Stop at the scene of the accident and if there
are any injuries or if any driver involved hasnÕt
stopped, call the police and emergency
services.
2
Take photos of the accident if itÕs safe to
do so, including any vehicles involved
Remember that dash cam footage could be
useful too.
3
Other driver/vehicle details
Ask the other party for their contact details.
Take down their vehicle registration, name,
address and telephone number and give
the third party yours. DonÕt accept blame
for the accident.
4
Witnesses
If any passers-by have stopped, you can ask
for their contact details. These may be needed
later for a statement if blame is being disputed.
5
Call us
Giving us a call as soon as possible means
youÕll have the details fresh in your mind and
means we can help you and the third party
sooner, get you back on the road as quickly
as possible"
Give me the  locations i will be covered?,"our car insurance covers the following areas:
Great Britain
Northern Ireland
The Channel Islands
The Isle of Man","""The area your policy applies (the territorial limits)
Your car insurance gives you the cover described in your car insurance details in:
Great Britain.
Northern Ireland.
the Channel Islands.
the Isle of Man.
It also covers journeys between these places"""
