question,answer,contexts,ground_truth
What is covered under Section 1: Liability?,"Under Section 1: Liability, your car insurance policy provides cover for liability to other people (third parties) within the territorial limits in the countries listed in the 'Countries where you have minimum cover'. This includes injury to anyone working with or for the driver of the car, except as set out in the Road Traffic Act. If your policy includes Green Flag, it may also cover liability for accidents caused by your automated car when it is lawfully driving. Additional details and any restrictions can be found under each section of the policy.",Section 1: Liability covers you if you're found to be legally responsible for an accident involving your car that injures or kills someone or damages their property.,"Weâll provide cover if youâre found to be legally responsible to other people for an accident involving your car that: injures or kills someone, and/or damages someone elseâs property."
What is the coverage for new car replacement under Comprehensive Plus?,"If your new car is stolen and not recovered, or written off, Comprehensive Plus cover will replace it with one of the same make and model.","If your new car is stolen and not recovered, or written off, Comprehensive Plus will replace it with one of the same make and model if your car is less than 2 years old.","If you have Comprehensive Plus cover, your car is less than 2 years old when itâs stolen or damaged."
Are personal belongings covered under the policy?,"Yes, personal belongings are covered under the policy if they are lost or damaged by fire, theft, attempted theft, or accident while they’re in or on your car.","Yes, personal belongings are covered if they are lost or damaged by fire, theft, attempted theft, or accident while theyâre in or on your car, up to Â£500 under Comprehensive Plus.","Weâll pay for personal belongings if theyâre lost or damaged by fire, theft, attempted theft or accident while theyâre in or on your car. Weâll cover up to the amounts shown in âWhat your cover includesâ on page 8."
What is the maximum number of claims allowed under Protected No Claim Discount?,The maximum number of claims allowed under Protected No Claim Discount is 2 claims in 3 years.,The maximum number of claims allowed under Protected No Claim Discount is 2 claims in 3 years.,Protected No Claim Discount (NCD) Maximum number of claims allowed: 2 claims in 3 years.
What should you do if you need to make a claim?,"To make a claim, you should provide your personal details, policy number, car registration number, and a description of the loss or damage. Additionally, you should inform us and your appointed representative of any information, evidence, or documents you have related to the claim. It's important to keep us updated on any developments regarding the claim.","You should call the claims number provided 0345 878 6261
Windscreen claims 0800 328 9150 , have your personal details, policy number, car registration number, and a description of the loss or damage ready.","To get the ball rolling, weâll need to know things like: Your personal details. Your policy number. Your car registration number. A description of the loss or damage."
Does the policy cover mechanical or electrical failure?,"No, the policy does not cover mechanical or electrical failure.","No, the policy does not cover mechanical or electrical failure.",We donât cover things like: Mechanical or electrical failure.
Can you use your car abroad under this policy?,"Yes, you can use your car abroad under this policy if you have Comprehensive cover and you've added the Foreign Use Extension to your cover before you travel. This information will be shown on your car insurance details.","Yes, you can use your car abroad, but you may need a Green Card and should take a European Accident Statement with you.","You may need a Green Card if youâre travelling abroad. If you need one, please get in touch before you travel. We also recommend you take a European Accident Statement with you."
What happens if your car is written off?,"If your car is written off, the insurance company may choose to either repair the damage themselves or pay you the value of the car if it's more cost-effective than repairing it. Once the claim is settled, your car will become the property of the insurance company, and you may need to send them the registration document. All cover will then end unless otherwise agreed.","If your car is written off, the insurance will pay the market value of the car, and the car will become the property of the insurance company.","If your car is written off and we agree to settle your claim on that basis, we will have met our responsibilities to you under the policy. Once we settle your claim, your car will become our property and you must send us the registration document."
What does the Vandalism Promise cover?,"The Vandalism Promise covers damage to your car that is a result of vandalism. If you claim for such damage, it won't affect the No Claim Discount on your policy. However, it's important to note that the Vandalism Promise doesn't cover damage caused by another vehicle.","The Vandalism Promise covers damage to your car that is a result of vandalism, and this wonât affect the No Claim Discount on your policy.","If you claim for damage to your car thatâs a result of vandalism, this wonât affect the No Claim Discount on this policy."
What is the Uninsured Driver Promise?,"The Uninsured Driver Promise covers you if you are involved in an accident that isn't your fault, and the driver of the other vehicle is uninsured. It helps you claim your uninsured losses from the person who was to blame for the accident. This could include compensation for death or bodily injury.","The Uninsured Driver Promise ensures that if you are hit by an uninsured driver, your No Claim Discount will not be affected and you will not need to pay an excess.","If you claim for an accident that isnât your fault, and the driver of the vehicle that hits your car is uninsured, the No Claim Discount on this policy will not be affected and you will not need to pay an excess."
What should you do if your car keys are stolen?,"If your car keys are stolen, you should report the theft to the police and obtain a crime reference number. After that, you should contact your insurance provider and follow their instructions for making a claim. They will provide cover to replace your stolen car keys and the locks they fit, including any locksmith charges.","You must report the theft to the police, obtain a crime reference number, and pay the theft excess.","If your keys are stolen, youâll need to pay the theft excess. Youâll need to report this theft to the police and provide us with the crime reference number."
Does the policy cover vandalism damage?,"Yes, the policy covers vandalism damage. If you claim for damage to your car that’s a result of vandalism, it won’t affect the No Claim Discount on this policy.","Yes, the policy covers vandalism damage, and it wonât affect your No Claim Discount if you have Comprehensive or Comprehensive Plus cover.","If you claim for damage to your car thatâs a result of vandalism, this wonât affect the No Claim Discount on this policy."
What happens if someone drives your car without being insured?,"If someone drives your car without being named or listed as an excluded driver on your insurance policy, and they are at fault for an accident, your insurance may not cover the damages or losses. In such a situation, you may need to claim your uninsured losses from the person who was driving your car.",The policy does not cover any claims if the car is driven by someone who is not insured on the policy.,We wonât provide cover if your car is being used by someone whoâs not insured on the policy.
How can you claim for personal belongings under the policy?,"To claim personal belongings under your car insurance policy, you should ensure that they meet the criteria mentioned in your policy booklet. This includes having the belongings on or in your car, in your locked private garage, or plugged into your car. When making a claim, provide your personal details, policy number, car registration number, and a description of the loss or damage to enable the process to be completed efficiently.","You can claim for personal belongings if they are lost or damaged by fire, theft, attempted theft, or accident while they are in or on your car, up to the specified amount.","Weâll pay for personal belongings if theyâre lost or damaged by fire, theft, attempted theft or accident while theyâre in or on your car."
Are medical expenses covered if you are injured in a car accident?,"Yes, medical expenses are covered if you are injured in a car accident, as long as no other car insurance policy covers the cost. The policy will cover up to the amounts specified in 'What your cover includes' on page 8.","Yes, medical expenses are covered up to the specified amount if you are injured in a car accident.","If your car is in an accident and people are injured, weâll cover medical expenses if needed. This is so long as no other car insurance policy covers the cost."
What is included in the DriveSure policy?,"If you have a DriveSure policy, it includes driver-monitoring technology that captures how, when, and where your car is driven. This information is used to understand your driving style and provide you with feedback. Additionally, the policy will have specific terms and conditions that you should carefully read and keep safe for reference.",The DriveSure policy includes telematics insurance that captures driving data to understand your driving style and adjust your premium accordingly.,"DriveSure is our telematics insurance product. Itâs designed to capture how, when and where your car is driven, based on driver-monitoring technology. We use it to understand your driving style and give you feedback."
Does the policy cover damage caused by misfuelling?,"Yes, the policy covers any damage to your car caused by misfuelling. However, it does not cover the cost of draining, flushing, or replacing the fuel if the wrong fuel is put in your car.","Yes, the policy covers damage caused by misfuelling, but it does not cover the cost of draining, flushing, or replacing the fuel.","Weâll cover any damage to your car caused by misfuelling. We wonât cover the cost of draining, flushing or replacing the fuel if the wrong fuel is put in your car."
What is the coverage for hotel expenses if you cannot drive your car after an accident?,The coverage for hotel expenses if you cannot drive your car after an accident is up to £250 with the Comp policy and up to £300 with the Comp+ policy.,The policy covers up to Â£300 for hotel expenses if you cannot drive your car after an accident or loss covered under sections 2 or 4.,"If you cannot drive your car after an accident or loss thatâs covered under sections 2 or 4 of this policy, weâll cover up to the amounts shown in âWhat your cover includesâ on page 8."
How long can you use the courtesy car if your car is being repaired?,"If your car is being repaired by an approved repairer, you can use the courtesy car subject to availability. The duration of use may vary, but typically you can use the courtesy car until your car is repaired and ready for collection.",You can use the courtesy car for the duration of the repair if it is being repaired by an approved repairer.,"If your car is being repaired by an approved repairer: You will get a courtesy car to keep you mobile while your car is being repaired, subject to availability. The courtesy car will be a small hatchback car with an engine size of up to 1000cc."
What does the Guaranteed Hire Car Plus cover provide?,"The Guaranteed Hire Car Plus cover provides you with a hire car for a specified amount of time if your car is being repaired by an approved repairer. If the insurance company cannot provide you with a hire car for certain reasons, they will repay your travel costs.","Guaranteed Hire Car Plus provides a hire car of a similar size to your own if your car is damaged in an incident, written off, or stolen.","Guaranteed Hire Car Plus is designed to keep you mobile while your car is being repaired, by providing you with a hire car thatâs a similar size to your car."
What impacts my premium?,"Factors that can impact your premium include your driving record, the type of coverage you have (such as Comprehensive or Third Party, Fire and Theft), the type of car you drive, your age, where you live, and any additional coverages or benefits you choose to add to your policy. Additionally, factors like driver-monitoring technology and any claims you make can also affect your premium.","We can base your premium on the basis of your driving record. If you change your car insurance and thereÕs an extra premium to pay, you can pay this at thetime of the change, or add it to your monthly payments.","We can base your premium on the basis of your driving record. If you change your car insurance and thereÕs an extra premium to pay, you can pay this at thetime of the change, or add it to your monthly payments."
When the premuim would not be refunded?,"The premium would not be refunded if you have made a claim, or if a claim has been made against you, or if there has been any fraudulent activity.","We will not refund any car insurance premium if you have made a car insurance claim or if one has been made against you during the period of cover (regardless of whether you pay annually or by monthly instalments under a credit agreement). We wonÕt refund any premium if youÕve made a claim, or if youÕve had a claim against you if you have chosen to pay by lump-sum.","We will not refund any car insurance premium if you have made a car insurance claim or if one has been made against you during the period of cover (regardless of whether you pay annually or by monthly instalments under a credit agreement). We wonÕt refund any premium if youÕve made a claim, or if youÕve had a claim against you if you have chosen to pay by lump-sum."
Can I Lend My Car to a Friend? Will My Insurance Cover Them?,"Yes, your insurance will cover your friend if you lend them your car as long as they have your permission to use the car. However, it's important to check the specific details of your policy to ensure that your friend is covered under your insurance.","Your certificate of motor insurance will show who has cover to drive other cars. 
Generally, the insurance will only cover injury to third parties or damage caused to their property, not damage to the car being driven. If your friend is not listed on your insurance certificate or the policy does not explicitly allow it, then they would not be covered under your insurance.","Your certificate of motor insurance will show
who has cover to drive other cars. WeÕll only
cover injury to third parties, or damage caused
to their property, not to the car being driven"
What Does My Policy Cover If I Get into an Accident?,"Your policy covers personal accident up to the amounts shown in ‘What your cover includes’ on page 8. Additionally, you should provide your personal details, policy number, car registration number, and a description of the loss or damage if you are involved in an accident.","Your car insurance policy covers liability for injuries and property damage to others, as well as accidental damage to your car. It also includes personal benefits such as medical expenses, personal accident coverage, and the replacement of child car seats and in-car entertainment equipment. Additionally, you can receive a courtesy car during repairs and have protections like the Uninsured Driver Promise and Vandalism Promise, which safeguard your No Claim Discount under certain conditions. For complete details, refer to sections on liability, accidental damage, and personal benefits in your policy booklet.","Section 1: Liability
Injuries to Other People: Covers injuries or death to others caused by an accident involving your car.
Property Damage: Covers damage to someone else's property.
Section 4: Accidental Damage
Accidental Damage to Your Car: Covers repairs or replacement of your car if it is damaged in an accident.
Child Car Seat Replacement: Covers the cost of replacing a child car seat if it is damaged in an accident.
In-car Entertainment: Covers in-car entertainment equipment that was permanently fitted in your car when it was made.
Section 6: Personal Benefits
Personal Accident: Provides financial help if you or your partner are accidentally injured or killed in a car accident involving your car.
Medical Expenses: Covers medical expenses for injuries resulting from an accident.
Hotel Expenses: Covers hotel expenses if you cannot drive your car after an accident.
Personal Belongings: Covers personal belongings if they are lost or damaged by an accident while they are in or on your car.
Uninsured Driver Promise
If you are involved in an accident that is not your fault and the other driver is uninsured, your No Claim Discount will not be affected, and you will not need to pay an excess once the fault is confirmed.

Vandalism Promise
If you claim for damage to your car caused by vandalism, it will not affect your No Claim Discount on the policy.

Courtesy Car
If your car is being repaired by an approved repairer, you will get a courtesy car to keep you mobile while your car is being repaired.

Additional Exclusions and Conditions
Legal Costs: Reasonable legal costs or expenses to defend or represent you in court.
Repairs and Replacements: Detailed information on how repairs and replacements are managed is found in sections 2, 4, and 5 of the policy."
What are the minimum liability coverage requirements?,"The minimum liability coverage requirements for your car insurance policy include:

- Injuries to other people: Unlimited coverage
- Property damage: £20,000,000 per accident (includes all costs and expenses)
- Road traffic accident: £100,000 if this cover is included
- Motor contract dispute: £100,000 if this cover is included
- Motoring prosecution defense: £100,000 if this cover is included

These are the minimum liability coverage amounts provided by your policy.","the minimum liability coverage requirements include:
Injuries to Other People: Unlimited coverage for injuries or death caused to other people.
Property Damage: Coverage up to £20,000,000 per accident, including all costs and expenses .","the minimum liability coverage requirements include:
Injuries to Other People: Unlimited coverage for injuries or death caused to other people.
Property Damage: Coverage up to £20,000,000 per accident, including all costs and expenses ."
what I am not covered for?,I don't have specific information on the exclusions or limitations of your coverage. It would be best to refer to your car insurance policy booklet or contact your insurance provider for detailed information on the exclusions and limitations of your coverage.,"Your policy does not cover: use by unauthorized drivers, unauthorized taking by family without reporting to police, loss of value due to wear and tear, mechanical or electrical failures, deliberate damage, indirect losses like travel costs, actions by government or authorities, cyber events, automated car use when unlawful, and incidents involving drink or drug driving.","Your policy does not cover: use by unauthorized drivers, unauthorized taking by family without reporting to police, loss of value due to wear and tear, mechanical or electrical failures, deliberate damage, indirect losses like travel costs, actions by government or authorities, cyber events, automated car use when unlawful, and incidents involving drink or drug driving."
What are the conditions under which my No Claim Discount (NCD) is protected?,"Your No Claim Discount (NCD) can be protected if you make up to 2 claims in 3 years of insurance in a row. This means that making up to 2 claims within this time frame won't affect the NCD on your policy. However, it's important to note that protected NCD doesn’t guarantee your premium – it may still increase if a claim is made. You may also have the option to protect your NCD by paying an additional premium.",Your NCD is protected if you make no more than 2 claims in 3 years. Protected NCD doesnât guarantee your premium wonât increase if a claim is made.,Protected NCD means that you can make up to 2 claims in 3 years without your No Claim Discount being affected.
What is the process if my car is written off and I have a lease or hire purchase agreement?,"If your car is written off and you have a lease or hire purchase agreement, the insurance company will typically pay any claims directly to the lease company or the legal owners of the car. This is because they are the legal owners of the vehicle. You may need to provide documentation or information about the lease or hire purchase agreement to facilitate this process.","If your car is written off, payments will be made to the lease or hire purchase company. Any remaining balance will be paid to you if you have the option to become the full owner at the end of the agreement.","If your car canât be repaired and youâre leasing it, weâll pay any claims to the lease company. If youâre buying it on hire purchase, weâll pay any claims to the legal owner."
How does the policy handle repairs if I choose my own repairer instead of an approved one?,"If you choose your own repairer instead of an approved one under the policy, the repairs will not be guaranteed by the insurance company, even if they pay for them directly. In this case, the repairs will not be treated as being carried out by the approved repairer. If there is a problem with any aspect of the repair, your first point of contact should be the repairer who did the original work.","Reasonable and necessary repairs can be carried out at a repairer of your choice, but these repairs will not be guaranteed by the insurer even if they pay for them directly.","Where the repairs are carried out at a repairer of your choice, those repairs will NOT be guaranteed by us even though we may pay for them directly."
What are the exclusions related to driving another car under my policy?,"Under your policy, the exclusions related to driving another car include not covering damage caused by any driver insured on the policy to any property they own or are responsible for. Additionally, liability for loss of, or accidental damage is not covered.","Your policy doesnât cover damage, fire, or theft of the car youâre driving, nor does it provide Motor Legal cover when driving another car.","We donât cover any damage, fire, or theft to the car youâre driving. We donât provide Motor Legal cover if youâre driving another car."
Under what conditions will the Uninsured Driver Promise apply?,"The Uninsured Driver Promise will apply if you are involved in a road traffic accident that isn't your fault, and the driver of the vehicle that hits your car is uninsured. In this case, the Uninsured Driver Promise will help you claim your uninsured losses from the person who was to blame for the accident.","The Uninsured Driver Promise applies if you are in an accident that isnât your fault, and the driver of the other vehicle is uninsured. You need to provide the registration number, make and model of the vehicle that hit you, the driverâs details, and any witness information.","If you claim for an accident that isnât your fault, and the driver of the vehicle that hits your car is uninsured, the No Claim Discount on this policy will not be affected and you will not need to pay an excess."
What does the policy cover under Motor Legal Cover?,The policy under Motor Legal Cover covers costs if you need to take legal action or defend yourself in court.,"Motor Legal Cover includes costs for pursuing or defending claims related to road traffic accidents, motor contract disputes, and motoring offences, provided there is a reasonable chance of success.",Weâll provide cover for the costs to defend you in a criminal court within the territorial limits if youâre prosecuted for a motoring offence while using your car.
How does the Guaranteed Hire Car Plus work if my car is not driveable?,"If your car is not driveable and you have the Guaranteed Hire Car Plus cover, the insurance will extend this cover while you're unable to use your car. This means that if you can't drive your car due to lost or damaged car keys, the insurance will provide you with a hire car for the duration of the repair. If the insurance cannot provide you with a hire car for certain reasons outlined in the policy, they will repay your travel costs up to a certain limit per day. You can use this benefit within 21 days following your claim.","If your car is not driveable and you use an approved repairer, you will be provided with a hire car until your car is repaired. If you use your own repairer, youâll get a hire car for up to 21 days.","If your car can be repaired, and is not driveable, as soon as youâve confirmed that we can start the repair, weâll provide you with a hire car."
What are the exclusions for windscreen damage coverage?,Exclusions for windscreen damage coverage include damage caused by vandalism (which may be covered under Section 4: Accidental Damage) and loss of use or earnings.,"The policy doesnât cover other losses caused by the same incident that arenât related to windscreen damage, such as dents to the bodywork or damage caused by vandalism.","We wonât cover any other losses covered under another section of this policy for the same incident, such as dents to the bodywork."
What actions should I avoid to prevent increasing the amount claimed?,"You must not do, or refrain from doing, anything that would increase the amount of the claim without the insurance company's written permission. For example, admitting liability for, or negotiating to settle, any claim could potentially increase the amount claimed.","You must not do or refrain from doing anything that would increase the amount of the claim without written permission, such as admitting liability or negotiating to settle any claim.","You must not do, or refrain from doing, anything that would increase the amount of the claim without our written permission."
What are the conditions for replacing car keys if they are stolen or lost abroad?,"The conditions for replacing car keys if they are stolen abroad are:
- You must have Comprehensive cover and have added Foreign Use Extension to your policy before traveling.
- For Comprehensive Plus cover, 90 days of Foreign Use Extension is included.
- The policy covers up to £1,000 for the theft of car keys.
- You must take all reasonable steps to protect your car keys from theft.
- You will need to report the theft to the police and provide a crime reference number.","While driving abroad, car keys are covered if stolen when you have Comprehensive cover with a Foreign Use Extension or Comprehensive Plus cover. You must replace the keys and send receipts for reimbursement.","While driving your car abroad, weâll cover your car keys if they are stolen when you have Comprehensive cover and youâve added Foreign Use Extension."
Am I protected if I seriously injure someone in an accident?,"Yes, you are protected if you seriously injure someone in an accident. The policy provides coverage for injuries or deaths caused to someone else as a result of an accident involving your car.","Yes, you are protected if you seriously injure someone in an accident. The liability coverage under your policy includes protection for injuries to other people caused by an accident involving your car. This includes unlimited coverage for injuries or death caused to other people.","Section 1: Liability
Injuries to Other People: ""WeÕll cover you if youÕre found to be legally responsible for an accident. This includes accidents that injure or kill someone."""
What are the cancellation policy?,"If you decide to cancel your policy before it starts, you will receive a full refund. If you cancel during the 14-day cooling-off period, you will be charged for the time you had cover and refunded the rest of the premium paid. If you cancel after the cooling-off period, you will be charged for the time you had cover, an administration fee, and refunded any remaining premium paid. The policy can also be canceled by the insurance company if there are valid reasons, and they will provide at least 7 days' notice.","Your Right to Cancel the Policy or Remove Any Optional Cover:
Before Cover Starts: Full refund.
During 14-Day Cooling-Off Period: Charge for the time you had cover, refund the rest.
After the 14-Day Cooling-Off Period: Charge for the time you had cover plus an administration fee, refund any remaining premium.","Your Right to Cancel the Policy or Remove Any Optional Cover:
Before Cover Starts: Full refund.
During 14-Day Cooling-Off Period: Charge for the time you had cover, refund the rest.
After the 14-Day Cooling-Off Period: Charge for the time you had cover plus an administration fee, refund any remaining premium."
What to do incase I met an accident?,"If you are involved in an accident, you should first stop at the scene of the accident and ensure safety. If there are any injuries or if any driver involved hasn’t stopped, call the police and emergency services. Take photos of the accident if it’s safe to do so, including any vehicles involved. Exchange personal details, policy numbers, car registration numbers, and a description of the loss or damage with the other party.","If you have an accident, ensure everyone's safety and call emergency services if needed. Exchange details with the other driver(s) and gather information about the accident, including witness details. Report the accident to the police if there are injuries or the other driver leaves the scene. Notify your insurer as soon as possible by calling the claims number","WeÕre here to support you when
accidents happen, so weÕve put
together some useful steps for
you to follow to help make the
process smoother.
1
Safety comes first
Stop at the scene of the accident and if there
are any injuries or if any driver involved hasnÕt
stopped, call the police and emergency
services.
2
Take photos of the accident if itÕs safe to
do so, including any vehicles involved
Remember that dash cam footage could be
useful too.
3
Other driver/vehicle details
Ask the other party for their contact details.
Take down their vehicle registration, name,
address and telephone number and give
the third party yours. DonÕt accept blame
for the accident.
4
Witnesses
If any passers-by have stopped, you can ask
for their contact details. These may be needed
later for a statement if blame is being disputed.
5
Call us
Giving us a call as soon as possible means
youÕll have the details fresh in your mind and
means we can help you and the third party
sooner, get you back on the road as quickly
as possible"
Give me the  locations i will be covered?,"The territorial limits for coverage under the policy include Great Britain, Northern Ireland, the Channel Islands, and the Isle of Man.","our car insurance covers the following areas:
Great Britain
Northern Ireland
The Channel Islands
The Isle of Man","""The area your policy applies (the territorial limits)
Your car insurance gives you the cover described in your car insurance details in:
Great Britain.
Northern Ireland.
the Channel Islands.
the Isle of Man.
It also covers journeys between these places"""
